Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,3,1,3,1,2
2,3,0,3,0,2
3,3,0,2,2,1
4,3,0,1,2,0
5,2,0,2,2,2
6,3,0,1,2,2
7,2,0,2,2,2
8,1,0,1,2,1
9,2,2,2,2,1
10,3,3,1,2,1
11,2,3,2,2,1
12,3,3,1,1,1
13,2,4,2,1,1
14,1,4,1,1,0
15,0,4,2,0,2
