Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,3,1,3,2,1
2,3,0,4,2,1
3,3,0,4,2,1
4,2,0,4,2,1
5,1,0,4,2,1
6,2,0,4,2,1
7,1,0,4,2,1
8,2,0,4,2,1
9,1,2,4,2,1
10,0,3,4,2,1
11,0,2,4,2,0
12,0,3,4,2,2
13,0,2,4,2,1
14,0,1,4,2,1
15,0,0,4,1,1
