Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,3,1,3,1,1
2,3,0,3,1,1
3,2,0,2,1,1
4,2,0,2,0,1
5,3,0,1,2,1
6,2,0,0,2,1
7,3,2,0,2,1
8,4,2,0,2,1
9,4,1,0,1,0
10,4,2,0,1,2
11,4,1,0,1,2
12,4,0,0,0,1
13,4,0,0,0,1
14,4,0,0,0,1
15,4,0,0,0,1
