Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,2,3,3,2,1
2,1,3,2,2,0
3,2,3,3,2,0
4,1,3,3,1,2
5,2,3,3,1,2
6,2,3,2,1,2
7,3,3,1,1,2
8,2,4,0,0,1
9,3,4,0,0,1
10,3,4,0,0,1
11,3,4,0,0,1
12,3,4,0,0,1
13,4,4,0,2,1
14,4,4,0,2,1
15,4,4,0,2,1
