Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,3,2,3,1,1
2,2,3,3,0,1
3,3,3,3,0,1
4,3,3,2,0,0
5,3,3,3,2,0
6,3,3,3,2,2
7,3,3,2,2,2
8,3,3,3,2,2
9,2,3,3,2,2
10,3,3,2,2,1
11,2,3,1,2,1
12,3,3,0,2,1
13,2,4,2,2,1
14,2,4,1,2,1
15,1,4,0,2,1
