Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,3,3,1,2,2
2,2,3,2,2,2
3,3,2,3,2,2
4,3,1,3,2,1
5,3,1,3,2,1
6,3,0,3,2,1
7,2,2,2,1,1
8,3,1,3,1,0
9,4,2,3,1,2
10,4,1,3,1,2
11,4,0,3,0,1
12,4,0,2,2,1
13,4,0,1,2,1
14,4,0,1,2,0
15,4,0,2,2,2
