Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,1,3,3,2,2
2,2,2,3,2,1
3,3,3,2,2,1
4,2,3,3,2,1
5,2,4,2,2,0
6,1,4,3,2,2
7,1,4,2,1,2
8,2,4,2,1,2
9,1,4,1,0,2
10,2,4,0,2,2
11,1,4,0,2,2
12,0,4,0,1,2
13,0,4,0,1,2
14,0,4,0,1,2
15,0,4,0,1,2
