Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,1,3,3,2,2
2,2,3,2,1,2
3,1,3,1,1,2
4,2,2,2,1,2
5,3,1,3,1,1
6,3,0,4,1,1
7,2,0,4,0,1
8,3,0,4,0,1
9,3,0,4,0,1
10,3,0,4,2,1
11,2,0,4,2,1
12,1,0,4,2,1
13,2,2,4,2,1
14,3,1,4,2,1
15,3,0,4,2,1
