Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,1,3,1,1,2
2,0,3,0,0,2
3,0,3,0,0,1
4,0,3,0,2,1
5,0,2,0,2,1
6,0,1,2,2,0
7,0,2,3,1,2
8,0,1,4,0,2
9,0,2,4,0,2
10,0,3,4,2,2
11,0,3,4,2,2
12,2,2,4,2,2
13,1,3,4,2,2
14,2,2,4,2,1
15,1,3,4,2,1
