Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,2,3,3,2,1
2,1,4,2,2,0
3,2,4,3,2,0
4,1,4,3,2,2
5,0,4,2,1,2
6,0,4,1,1,1
7,0,4,2,1,1
8,0,4,1,1,0
9,0,4,2,1,0
10,0,4,3,1,2
11,0,4,2,1,2
12,0,4,1,1,2
13,2,4,2,1,2
14,2,4,1,0,2
15,3,4,0,2,1
