Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,1,3,1,1,1
2,0,3,1,1,1
3,0,3,0,0,0
4,2,3,0,0,2
5,3,3,0,0,2
6,3,3,0,0,2
7,3,4,0,0,2
8,3,4,0,0,2
9,3,4,0,2,2
10,2,4,0,2,2
11,1,4,0,2,2
12,0,4,2,2,2
13,0,4,1,2,1
14,0,4,0,2,1
15,0,4,0,2,1
