Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,1,3,3,2,1
2,2,3,3,2,1
3,3,3,3,1,1
4,3,4,2,1,1
5,2,4,1,1,0
6,1,4,2,0,2
7,2,4,1,0,2
8,3,4,2,2,2
9,3,4,3,2,2
10,2,4,2,2,2
11,2,4,1,1,1
12,1,4,2,1,1
13,2,4,1,1,0
14,2,4,2,0,0
15,3,4,3,0,2
