Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,1,3,1,1,1
2,2,3,0,1,1
3,1,3,0,1,0
4,2,3,0,1,2
5,3,3,0,1,2
6,2,4,0,0,1
7,3,4,0,0,1
8,3,4,0,0,1
9,3,4,0,0,1
10,3,4,0,0,1
11,3,4,0,0,1
12,3,4,0,0,1
13,3,4,2,0,1
14,3,4,1,2,1
15,2,4,0,2,1
