Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,1,3,1,1,2
2,2,2,2,1,1
3,1,3,3,0,0
4,2,3,4,0,0
5,3,3,4,0,0
6,3,3,4,0,0
7,3,3,4,0,0
8,3,3,4,2,2
9,2,3,4,2,2
10,1,3,4,2,2
11,2,2,4,1,2
12,1,3,4,1,2
13,0,3,4,1,2
14,0,2,4,1,2
15,0,1,4,1,2
