Step,f0,f1,f2,s0,s1
0,2,2,2,2,2
1,1,3,1,2,2
2,2,2,2,2,2
3,1,3,1,1,1
4,2,2,2,0,0
5,3,3,3,0,0
6,3,3,3,0,2
7,4,3,2,2,2
8,4,3,2,2,2
9,4,3,3,2,2
10,4,3,2,2,2
11,4,3,1,2,2
12,4,2,2,2,2
13,4,3,1,2,2
14,4,2,2,2,2
15,4,3,1,2,2
